,from_date,zip_code,offense_society,offense_person,offense_property,offense_other,dv,firearm,offense_total,year,month,quarter,zip,city,population,unemployment_rate,house_price_index,per_cap_income,new_priv_housing
1222,2011-10-01,64110,24,20,108,15,5,17,167,2011,10,4,64110,Kansas City,462219,7.4,160.48,42814,231.0
1223,2011-10-01,64111,38,54,297,14,8,30,403,2011,10,4,64111,Kansas City,462219,7.4,160.48,42814,231.0
1224,2011-10-01,64112,6,2,29,1,2,0,38,2011,10,4,64112,Kansas City,462219,7.4,160.48,42814,231.0
1225,2011-10-01,64113,7,8,35,0,0,1,50,2011,10,4,64113,Kansas City,462219,7.4,160.48,42814,231.0
1226,2011-10-01,64114,19,14,81,2,9,3,116,2011,10,4,64114,Kansas City,462219,7.4,160.48,42814,231.0
1227,2011-10-01,64116,11,3,53,0,4,0,67,2011,10,4,64116,Kansas City,462219,7.4,160.48,42814,231.0
1228,2011-10-01,64117,15,5,89,2,10,5,111,2011,10,4,64117,Kansas City,462219,7.4,160.48,42814,231.0
1229,2011-10-01,64118,23,17,98,3,9,5,141,2011,10,4,64118,Kansas City,462219,7.4,160.48,42814,231.0
1230,2011-10-01,64119,27,5,84,1,8,2,117,2011,10,4,64119,Kansas City,462219,7.4,160.48,42814,231.0
1231,2011-10-01,64120,0,1,24,0,0,2,25,2011,10,4,64120,Kansas City,462219,7.4,160.48,42814,231.0
1232,2011-10-01,64121,6,0,1,3,3,0,10,2011,10,4,64121,Kansas City,462219,7.4,160.48,42814,231.0
1233,2011-10-01,64123,30,15,97,9,12,4,151,2011,10,4,64123,Kansas City,462219,7.4,160.48,42814,231.0
1234,2011-10-01,64124,48,48,112,12,18,20,220,2011,10,4,64124,Kansas City,462219,7.4,160.48,42814,231.0
1235,2011-10-01,64125,11,3,21,1,9,1,36,2011,10,4,64125,Kansas City,462219,7.4,160.48,42814,231.0
1236,2011-10-01,64126,18,9,40,5,6,1,72,2011,10,4,64126,Kansas City,462219,7.4,160.48,42814,231.0
1237,2011-10-01,64127,63,36,249,20,22,31,368,2011,10,4,64127,Kansas City,462219,7.4,160.48,42814,231.0
1238,2011-10-01,64128,41,18,122,27,19,13,208,2011,10,4,64128,Kansas City,462219,7.4,160.48,42814,231.0
1239,2011-10-01,64129,13,7,59,3,7,4,82,2011,10,4,64129,Kansas City,462219,7.4,160.48,42814,231.0
1240,2011-10-01,64130,129,59,215,69,42,46,472,2011,10,4,64130,Kansas City,462219,7.4,160.48,42814,231.0
1241,2011-10-01,64131,36,21,147,22,13,7,226,2011,10,4,64131,Kansas City,462219,7.4,160.48,42814,231.0
1242,2011-10-01,64132,52,16,110,22,23,14,200,2011,10,4,64132,Kansas City,462219,7.4,160.48,42814,231.0
1243,2011-10-01,64133,14,19,162,2,5,3,197,2011,10,4,64133,Kansas City,462219,7.4,160.48,42814,231.0
1244,2011-10-01,64134,50,23,165,16,22,22,254,2011,10,4,64134,Kansas City,462219,7.4,160.48,42814,231.0
1245,2011-10-01,64136,2,1,10,0,0,0,13,2011,10,4,64136,Kansas City,462219,7.4,160.48,42814,231.0
1246,2011-10-01,64137,7,4,36,2,3,2,49,2011,10,4,64137,Kansas City,462219,7.4,160.48,42814,231.0
1247,2011-10-01,64138,16,7,66,6,5,3,95,2011,10,4,64138,Kansas City,462219,7.4,160.48,42814,231.0
1248,2011-10-01,64139,0,0,2,0,0,0,2,2011,10,4,64139,Kansas City,462219,7.4,160.48,42814,231.0
1249,2011-10-01,64145,11,5,29,0,2,0,45,2011,10,4,64145,Kansas City,462219,7.4,160.48,42814,231.0
1250,2011-10-01,64146,0,0,8,0,0,1,8,2011,10,4,64146,Kansas City,462219,7.4,160.48,42814,231.0
1251,2011-10-01,64147,1,1,2,0,0,0,4,2011,10,4,64147,Kansas City,462219,7.4,160.48,42814,231.0
1252,2011-10-01,64151,16,10,62,5,8,0,93,2011,10,4,64151,Kansas City,462219,7.4,160.48,42814,231.0
1253,2011-10-01,64152,1,4,24,0,0,1,29,2011,10,4,64152,Kansas City,462219,7.4,160.48,42814,231.0
1254,2011-10-01,64153,1,5,37,1,1,2,44,2011,10,4,64153,Kansas City,462219,7.4,160.48,42814,231.0
1255,2011-10-01,64154,18,1,47,0,4,4,66,2011,10,4,64154,Kansas City,462219,7.4,160.48,42814,231.0
1256,2011-10-01,64155,8,6,47,3,4,2,64,2011,10,4,64155,Kansas City,462219,7.4,160.48,42814,231.0
1257,2011-10-01,64156,1,1,13,0,0,0,15,2011,10,4,64156,Kansas City,462219,7.4,160.48,42814,231.0
1258,2011-10-01,64157,4,4,28,0,1,0,36,2011,10,4,64157,Kansas City,462219,7.4,160.48,42814,231.0
1259,2011-10-01,64158,1,1,17,0,0,1,19,2011,10,4,64158,Kansas City,462219,7.4,160.48,42814,231.0
1260,2011-10-01,64161,1,0,7,0,1,4,8,2011,10,4,64161,Kansas City,462219,7.4,160.48,42814,231.0
1261,2011-10-01,64163,0,0,1,0,0,0,1,2011,10,4,64163,Kansas City,462219,7.4,160.48,42814,231.0
1262,2011-10-01,64149,0,0,3,0,0,0,3,2011,10,4,64149,Kansas City,462219,7.4,160.48,42814,231.0
1263,2011-10-01,64068,1,0,0,0,1,0,1,2011,10,4,64068,Liberty,29550,7.4,160.48,42814,231.0
1264,2011-10-01,64165,0,1,0,0,0,0,1,2011,10,4,64165,Kansas City,462219,7.4,160.48,42814,231.0
1265,2012-01-01,64028,0,0,0,0,0,2,0,2012,1,1,64028,Farley,275,6.7,158.4,45161,184.0
1266,2012-01-01,64030,0,0,0,0,0,1,0,2012,1,1,64030,Grandview,24578,6.7,158.4,45161,184.0
1267,2012-01-01,64057,0,0,0,0,0,1,0,2012,1,1,64057,Independence,117300,6.7,158.4,45161,184.0
1268,2012-01-01,64101,0,2,3,0,0,1,5,2012,1,1,64101,Kansas City,464588,6.7,158.4,45161,184.0
1269,2012-01-01,64102,1,1,0,0,1,0,2,2012,1,1,64102,Kansas City,464588,6.7,158.4,45161,184.0
1270,2012-01-01,64105,8,10,61,7,3,1,86,2012,1,1,64105,Kansas City,464588,6.7,158.4,45161,184.0
1271,2012-01-01,64106,51,99,150,6,15,32,306,2012,1,1,64106,Kansas City,464588,6.7,158.4,45161,184.0
1272,2012-01-01,64108,36,25,122,8,5,14,191,2012,1,1,64108,Kansas City,464588,6.7,158.4,45161,184.0
1273,2012-01-01,64109,35,28,111,4,11,13,178,2012,1,1,64109,Kansas City,464588,6.7,158.4,45161,184.0
1274,2012-01-01,64110,29,21,128,21,8,9,199,2012,1,1,64110,Kansas City,464588,6.7,158.4,45161,184.0
1275,2012-01-01,64111,21,31,167,13,8,17,232,2012,1,1,64111,Kansas City,464588,6.7,158.4,45161,184.0
1276,2012-01-01,64112,3,1,23,0,0,1,27,2012,1,1,64112,Kansas City,464588,6.7,158.4,45161,184.0
1277,2012-01-01,64113,6,2,21,5,0,1,34,2012,1,1,64113,Kansas City,464588,6.7,158.4,45161,184.0
1278,2012-01-01,64114,21,8,98,0,4,0,127,2012,1,1,64114,Kansas City,464588,6.7,158.4,45161,184.0
1279,2012-01-01,64116,1,2,27,0,0,1,30,2012,1,1,64116,Kansas City,464588,6.7,158.4,45161,184.0
1280,2012-01-01,64117,14,10,79,2,4,6,105,2012,1,1,64117,Kansas City,464588,6.7,158.4,45161,184.0
1281,2012-01-01,64118,13,10,69,0,8,0,92,2012,1,1,64118,Kansas City,464588,6.7,158.4,45161,184.0
1282,2012-01-01,64119,14,7,55,3,9,2,79,2012,1,1,64119,Kansas City,464588,6.7,158.4,45161,184.0
1283,2012-01-01,64120,2,3,22,0,1,2,27,2012,1,1,64120,Kansas City,464588,6.7,158.4,45161,184.0
1284,2012-01-01,64121,0,3,3,1,0,0,7,2012,1,1,64121,Kansas City,464588,6.7,158.4,45161,184.0
1285,2012-01-01,64123,18,31,88,10,5,9,147,2012,1,1,64123,Kansas City,464588,6.7,158.4,45161,184.0
1286,2012-01-01,64124,24,19,79,9,9,14,131,2012,1,1,64124,Kansas City,464588,6.7,158.4,45161,184.0
1287,2012-01-01,64125,7,4,27,2,5,3,40,2012,1,1,64125,Kansas City,464588,6.7,158.4,45161,184.0
1288,2012-01-01,64126,11,7,42,2,6,5,62,2012,1,1,64126,Kansas City,464588,6.7,158.4,45161,184.0
1289,2012-01-01,64127,66,34,186,20,27,25,306,2012,1,1,64127,Kansas City,464588,6.7,158.4,45161,184.0
1290,2012-01-01,64128,29,18,100,13,13,15,160,2012,1,1,64128,Kansas City,464588,6.7,158.4,45161,184.0
1291,2012-01-01,64129,7,7,55,4,3,13,73,2012,1,1,64129,Kansas City,464588,6.7,158.4,45161,184.0
1292,2012-01-01,64130,105,49,278,57,49,57,489,2012,1,1,64130,Kansas City,464588,6.7,158.4,45161,184.0
1293,2012-01-01,64131,34,14,104,12,17,10,164,2012,1,1,64131,Kansas City,464588,6.7,158.4,45161,184.0
1294,2012-01-01,64132,47,12,104,19,20,9,182,2012,1,1,64132,Kansas City,464588,6.7,158.4,45161,184.0
1295,2012-01-01,64133,21,19,149,3,19,7,192,2012,1,1,64133,Kansas City,464588,6.7,158.4,45161,184.0
1296,2012-01-01,64134,66,25,163,39,17,18,293,2012,1,1,64134,Kansas City,464588,6.7,158.4,45161,184.0
1297,2012-01-01,64136,2,1,10,0,1,0,13,2012,1,1,64136,Kansas City,464588,6.7,158.4,45161,184.0
1298,2012-01-01,64137,13,6,51,6,2,5,76,2012,1,1,64137,Kansas City,464588,6.7,158.4,45161,184.0
1299,2012-01-01,64138,17,5,61,7,10,3,90,2012,1,1,64138,Kansas City,464588,6.7,158.4,45161,184.0
1300,2012-01-01,64139,3,2,4,0,1,0,9,2012,1,1,64139,Kansas City,464588,6.7,158.4,45161,184.0
1301,2012-01-01,64141,0,0,1,0,0,0,1,2012,1,1,64141,Kansas City,464588,6.7,158.4,45161,184.0
1302,2012-01-01,64145,1,4,38,1,1,1,44,2012,1,1,64145,Kansas City,464588,6.7,158.4,45161,184.0
1303,2012-01-01,64146,2,0,2,0,2,0,4,2012,1,1,64146,Kansas City,464588,6.7,158.4,45161,184.0
1304,2012-01-01,64147,1,0,1,0,0,0,2,2012,1,1,64147,Kansas City,464588,6.7,158.4,45161,184.0
1305,2012-01-01,64151,17,8,82,4,15,4,111,2012,1,1,64151,Kansas City,464588,6.7,158.4,45161,184.0
1306,2012-01-01,64152,3,2,21,0,0,0,26,2012,1,1,64152,Kansas City,464588,6.7,158.4,45161,184.0
1307,2012-01-01,64153,1,4,49,0,1,0,54,2012,1,1,64153,Kansas City,464588,6.7,158.4,45161,184.0
1308,2012-01-01,64154,5,0,49,0,4,0,54,2012,1,1,64154,Kansas City,464588,6.7,158.4,45161,184.0
1309,2012-01-01,64155,12,8,58,0,9,2,78,2012,1,1,64155,Kansas City,464588,6.7,158.4,45161,184.0
1310,2012-01-01,64156,2,1,6,0,0,0,9,2012,1,1,64156,Kansas City,464588,6.7,158.4,45161,184.0
1311,2012-01-01,64157,3,1,30,0,2,2,34,2012,1,1,64157,Kansas City,464588,6.7,158.4,45161,184.0
1312,2012-01-01,64158,0,1,12,0,0,0,13,2012,1,1,64158,Kansas City,464588,6.7,158.4,45161,184.0
1313,2012-01-01,64161,0,2,5,0,0,0,7,2012,1,1,64161,Kansas City,464588,6.7,158.4,45161,184.0
1314,2012-01-01,64168,0,0,1,0,0,0,1,2012,1,1,64168,Kansas City,464588,6.7,158.4,45161,184.0
1315,2012-02-01,64030,0,0,1,0,0,0,1,2012,2,1,64030,Grandview,24578,6.7,158.4,45161,229.0
1316,2012-02-01,64101,0,0,4,0,0,0,4,2012,2,1,64101,Kansas City,464588,6.7,158.4,45161,229.0
1317,2012-02-01,64102,5,0,1,5,0,0,11,2012,2,1,64102,Kansas City,464588,6.7,158.4,45161,229.0
1318,2012-02-01,64105,8,10,49,0,2,2,67,2012,2,1,64105,Kansas City,464588,6.7,158.4,45161,229.0
1319,2012-02-01,64106,49,79,93,5,10,16,226,2012,2,1,64106,Kansas City,464588,6.7,158.4,45161,229.0
1320,2012-02-01,64108,31,29,85,9,9,7,154,2012,2,1,64108,Kansas City,464588,6.7,158.4,45161,229.0
1321,2012-02-01,64109,32,31,86,9,14,12,158,2012,2,1,64109,Kansas City,464588,6.7,158.4,45161,229.0
1322,2012-02-01,64110,27,30,103,12,10,12,172,2012,2,1,64110,Kansas City,464588,6.7,158.4,45161,229.0
1323,2012-02-01,64111,28,29,167,2,10,12,226,2012,2,1,64111,Kansas City,464588,6.7,158.4,45161,229.0
1324,2012-02-01,64112,2,1,31,0,0,0,34,2012,2,1,64112,Kansas City,464588,6.7,158.4,45161,229.0
1325,2012-02-01,64113,6,7,12,0,0,2,25,2012,2,1,64113,Kansas City,464588,6.7,158.4,45161,229.0
1326,2012-02-01,64114,15,16,84,6,4,2,121,2012,2,1,64114,Kansas City,464588,6.7,158.4,45161,229.0
1327,2012-02-01,64116,9,3,31,0,4,2,43,2012,2,1,64116,Kansas City,464588,6.7,158.4,45161,229.0
1328,2012-02-01,64117,10,6,39,0,7,2,55,2012,2,1,64117,Kansas City,464588,6.7,158.4,45161,229.0
1329,2012-02-01,64118,12,10,79,0,9,2,101,2012,2,1,64118,Kansas City,464588,6.7,158.4,45161,229.0
1330,2012-02-01,64119,21,11,60,1,14,18,93,2012,2,1,64119,Kansas City,464588,6.7,158.4,45161,229.0
1331,2012-02-01,64120,5,4,22,1,2,0,32,2012,2,1,64120,Kansas City,464588,6.7,158.4,45161,229.0
1332,2012-02-01,64121,2,6,2,0,1,0,10,2012,2,1,64121,Kansas City,464588,6.7,158.4,45161,229.0
1333,2012-02-01,64123,11,19,61,4,4,6,95,2012,2,1,64123,Kansas City,464588,6.7,158.4,45161,229.0
1334,2012-02-01,64124,25,27,70,3,25,19,125,2012,2,1,64124,Kansas City,464588,6.7,158.4,45161,229.0
1335,2012-02-01,64125,0,1,12,0,0,1,13,2012,2,1,64125,Kansas City,464588,6.7,158.4,45161,229.0
1336,2012-02-01,64126,10,4,25,0,7,2,39,2012,2,1,64126,Kansas City,464588,6.7,158.4,45161,229.0
1337,2012-02-01,64127,60,37,145,14,27,25,256,2012,2,1,64127,Kansas City,464588,6.7,158.4,45161,229.0
1338,2012-02-01,64128,48,24,87,13,25,11,172,2012,2,1,64128,Kansas City,464588,6.7,158.4,45161,229.0
1339,2012-02-01,64129,9,8,45,2,5,1,64,2012,2,1,64129,Kansas City,464588,6.7,158.4,45161,229.0
1340,2012-02-01,64130,85,36,181,14,42,56,316,2012,2,1,64130,Kansas City,464588,6.7,158.4,45161,229.0
1341,2012-02-01,64131,31,13,86,13,15,6,143,2012,2,1,64131,Kansas City,464588,6.7,158.4,45161,229.0
1342,2012-02-01,64132,60,13,74,20,29,10,167,2012,2,1,64132,Kansas City,464588,6.7,158.4,45161,229.0
1343,2012-02-01,64133,28,27,119,6,12,4,180,2012,2,1,64133,Kansas City,464588,6.7,158.4,45161,229.0
1344,2012-02-01,64134,69,19,98,24,24,24,210,2012,2,1,64134,Kansas City,464588,6.7,158.4,45161,229.0
1345,2012-02-01,64136,0,0,4,0,0,1,4,2012,2,1,64136,Kansas City,464588,6.7,158.4,45161,229.0
1346,2012-02-01,64137,8,2,29,3,4,1,42,2012,2,1,64137,Kansas City,464588,6.7,158.4,45161,229.0
1347,2012-02-01,64138,15,3,47,2,9,3,67,2012,2,1,64138,Kansas City,464588,6.7,158.4,45161,229.0
1348,2012-02-01,64139,0,1,1,0,0,0,2,2012,2,1,64139,Kansas City,464588,6.7,158.4,45161,229.0
1349,2012-02-01,64141,0,0,1,0,0,0,1,2012,2,1,64141,Kansas City,464588,6.7,158.4,45161,229.0
1350,2012-02-01,64145,1,3,22,0,0,1,26,2012,2,1,64145,Kansas City,464588,6.7,158.4,45161,229.0
1351,2012-02-01,64146,0,1,2,0,0,0,3,2012,2,1,64146,Kansas City,464588,6.7,158.4,45161,229.0
1352,2012-02-01,64147,0,4,1,0,0,0,5,2012,2,1,64147,Kansas City,464588,6.7,158.4,45161,229.0
1353,2012-02-01,64151,19,17,92,15,10,5,143,2012,2,1,64151,Kansas City,464588,6.7,158.4,45161,229.0
1354,2012-02-01,64152,3,3,15,0,3,0,21,2012,2,1,64152,Kansas City,464588,6.7,158.4,45161,229.0
1355,2012-02-01,64153,9,6,31,0,2,1,46,2012,2,1,64153,Kansas City,464588,6.7,158.4,45161,229.0
1356,2012-02-01,64154,5,3,33,1,2,0,42,2012,2,1,64154,Kansas City,464588,6.7,158.4,45161,229.0
1357,2012-02-01,64155,17,5,50,0,7,1,72,2012,2,1,64155,Kansas City,464588,6.7,158.4,45161,229.0
1358,2012-02-01,64156,2,0,6,0,1,0,8,2012,2,1,64156,Kansas City,464588,6.7,158.4,45161,229.0
1359,2012-02-01,64157,5,3,27,0,3,4,35,2012,2,1,64157,Kansas City,464588,6.7,158.4,45161,229.0
1360,2012-02-01,64158,2,0,12,0,0,0,14,2012,2,1,64158,Kansas City,464588,6.7,158.4,45161,229.0
1361,2012-02-01,64161,0,0,5,0,0,0,5,2012,2,1,64161,Kansas City,464588,6.7,158.4,45161,229.0
1362,2012-02-01,64016,1,1,0,0,0,1,2,2012,2,1,64016,Buckner,3073,6.7,158.4,45161,229.0
1363,2012-02-01,64079,0,1,0,0,0,0,1,2012,2,1,64079,Platte City,4787,6.7,158.4,45161,229.0
1364,2012-02-01,64083,0,0,1,0,0,0,1,2012,2,1,64083,Raymore,19531,6.7,158.4,45161,229.0
1365,2012-02-01,64149,0,0,2,0,0,0,2,2012,2,1,64149,Kansas City,464588,6.7,158.4,45161,229.0
1366,2012-02-01,64163,0,0,1,0,0,0,1,2012,2,1,64163,Kansas City,464588,6.7,158.4,45161,229.0
1367,2012-02-01,64167,0,1,0,0,0,0,1,2012,2,1,64167,Kansas City,464588,6.7,158.4,45161,229.0
1368,2012-03-01,64030,0,4,0,0,0,1,4,2012,3,1,64030,Grandview,24578,6.7,158.4,45161,306.0
1369,2012-03-01,64101,4,1,8,1,1,0,14,2012,3,1,64101,Kansas City,464588,6.7,158.4,45161,306.0
1370,2012-03-01,64102,0,0,2,0,0,0,2,2012,3,1,64102,Kansas City,464588,6.7,158.4,45161,306.0
1371,2012-03-01,64105,7,8,38,0,3,1,53,2012,3,1,64105,Kansas City,464588,6.7,158.4,45161,306.0
1372,2012-03-01,64106,58,82,133,9,12,27,282,2012,3,1,64106,Kansas City,464588,6.7,158.4,45161,306.0
1373,2012-03-01,64108,44,27,96,14,10,13,181,2012,3,1,64108,Kansas City,464588,6.7,158.4,45161,306.0
1374,2012-03-01,64109,51,31,121,22,19,21,225,2012,3,1,64109,Kansas City,464588,6.7,158.4,45161,306.0
1375,2012-03-01,64110,34,16,126,21,11,10,197,2012,3,1,64110,Kansas City,464588,6.7,158.4,45161,306.0
1376,2012-03-01,64111,49,38,225,9,12,13,321,2012,3,1,64111,Kansas City,464588,6.7,158.4,45161,306.0
1377,2012-03-01,64112,2,4,40,1,0,0,47,2012,3,1,64112,Kansas City,464588,6.7,158.4,45161,306.0
1378,2012-03-01,64113,5,14,22,2,2,4,43,2012,3,1,64113,Kansas City,464588,6.7,158.4,45161,306.0
1379,2012-03-01,64114,16,13,95,2,7,1,126,2012,3,1,64114,Kansas City,464588,6.7,158.4,45161,306.0
1380,2012-03-01,64116,10,10,33,0,9,2,53,2012,3,1,64116,Kansas City,464588,6.7,158.4,45161,306.0
1381,2012-03-01,64117,11,12,67,2,8,3,92,2012,3,1,64117,Kansas City,464588,6.7,158.4,45161,306.0
1382,2012-03-01,64118,24,15,96,10,18,6,145,2012,3,1,64118,Kansas City,464588,6.7,158.4,45161,306.0
1383,2012-03-01,64119,16,3,47,1,6,3,67,2012,3,1,64119,Kansas City,464588,6.7,158.4,45161,306.0
1384,2012-03-01,64120,3,8,32,0,1,3,43,2012,3,1,64120,Kansas City,464588,6.7,158.4,45161,306.0
1385,2012-03-01,64121,2,2,5,0,2,0,9,2012,3,1,64121,Kansas City,464588,6.7,158.4,45161,306.0
1386,2012-03-01,64123,39,17,106,14,10,12,176,2012,3,1,64123,Kansas City,464588,6.7,158.4,45161,306.0
1387,2012-03-01,64124,30,22,88,11,15,6,151,2012,3,1,64124,Kansas City,464588,6.7,158.4,45161,306.0
1388,2012-03-01,64125,8,2,23,3,1,0,36,2012,3,1,64125,Kansas City,464588,6.7,158.4,45161,306.0
1389,2012-03-01,64126,22,8,43,11,14,1,84,2012,3,1,64126,Kansas City,464588,6.7,158.4,45161,306.0
1390,2012-03-01,64127,96,49,200,27,51,28,372,2012,3,1,64127,Kansas City,464588,6.7,158.4,45161,306.0
1391,2012-03-01,64128,46,19,86,18,15,8,169,2012,3,1,64128,Kansas City,464588,6.7,158.4,45161,306.0
1392,2012-03-01,64129,8,6,45,1,6,5,60,2012,3,1,64129,Kansas City,464588,6.7,158.4,45161,306.0
1393,2012-03-01,64130,197,78,220,83,73,36,578,2012,3,1,64130,Kansas City,464588,6.7,158.4,45161,306.0
1394,2012-03-01,64131,47,10,113,15,17,12,185,2012,3,1,64131,Kansas City,464588,6.7,158.4,45161,306.0
1395,2012-03-01,64132,69,21,113,25,25,14,228,2012,3,1,64132,Kansas City,464588,6.7,158.4,45161,306.0
1396,2012-03-01,64133,35,22,129,5,16,8,191,2012,3,1,64133,Kansas City,464588,6.7,158.4,45161,306.0
1397,2012-03-01,64134,57,25,160,19,18,15,261,2012,3,1,64134,Kansas City,464588,6.7,158.4,45161,306.0
1398,2012-03-01,64136,2,3,7,0,0,0,12,2012,3,1,64136,Kansas City,464588,6.7,158.4,45161,306.0
1399,2012-03-01,64137,6,4,38,0,0,1,48,2012,3,1,64137,Kansas City,464588,6.7,158.4,45161,306.0
1400,2012-03-01,64138,28,10,71,11,13,2,120,2012,3,1,64138,Kansas City,464588,6.7,158.4,45161,306.0
1401,2012-03-01,64139,3,0,2,0,3,0,5,2012,3,1,64139,Kansas City,464588,6.7,158.4,45161,306.0
1402,2012-03-01,64141,4,4,5,0,0,0,13,2012,3,1,64141,Kansas City,464588,6.7,158.4,45161,306.0
1403,2012-03-01,64145,5,1,21,0,2,0,27,2012,3,1,64145,Kansas City,464588,6.7,158.4,45161,306.0
1404,2012-03-01,64146,1,0,3,0,0,0,4,2012,3,1,64146,Kansas City,464588,6.7,158.4,45161,306.0
1405,2012-03-01,64147,4,1,4,0,1,2,9,2012,3,1,64147,Kansas City,464588,6.7,158.4,45161,306.0
1406,2012-03-01,64151,11,12,77,5,7,0,105,2012,3,1,64151,Kansas City,464588,6.7,158.4,45161,306.0
1407,2012-03-01,64152,4,4,18,0,2,3,26,2012,3,1,64152,Kansas City,464588,6.7,158.4,45161,306.0
1408,2012-03-01,64153,6,3,43,2,3,0,54,2012,3,1,64153,Kansas City,464588,6.7,158.4,45161,306.0
1409,2012-03-01,64154,8,6,43,0,4,0,57,2012,3,1,64154,Kansas City,464588,6.7,158.4,45161,306.0
1410,2012-03-01,64155,20,9,52,0,13,0,81,2012,3,1,64155,Kansas City,464588,6.7,158.4,45161,306.0
1411,2012-03-01,64156,1,1,14,0,2,0,16,2012,3,1,64156,Kansas City,464588,6.7,158.4,45161,306.0
1412,2012-03-01,64157,19,0,34,0,6,2,53,2012,3,1,64157,Kansas City,464588,6.7,158.4,45161,306.0
1413,2012-03-01,64158,3,1,24,2,4,0,30,2012,3,1,64158,Kansas City,464588,6.7,158.4,45161,306.0
1414,2012-03-01,64161,0,1,6,2,0,1,9,2012,3,1,64161,Kansas City,464588,6.7,158.4,45161,306.0
1415,2012-03-01,64168,0,0,0,0,0,0,0,2012,3,1,64168,Kansas City,464588,6.7,158.4,45161,306.0
1416,2012-03-01,64016,0,2,0,0,0,0,2,2012,3,1,64016,Buckner,3073,6.7,158.4,45161,306.0
1417,2012-03-01,64149,0,0,1,0,0,0,1,2012,3,1,64149,Kansas City,464588,6.7,158.4,45161,306.0
1418,2012-03-01,64012,0,0,1,0,0,0,1,2012,3,1,64012,Belton,23280,6.7,158.4,45161,306.0
1419,2012-03-01,64014,0,1,0,0,0,0,1,2012,3,1,64014,Blue Springs,53002,6.7,158.4,45161,306.0
1420,2012-03-01,64015,0,1,0,0,0,0,1,2012,3,1,64015,Blue Springs,53002,6.7,158.4,45161,306.0
1421,2012-03-01,64052,1,0,0,0,1,0,1,2012,3,1,64052,Independence,117300,6.7,158.4,45161,306.0
1422,2012-03-01,64068,0,0,1,0,0,0,1,2012,3,1,64068,Liberty,29830,6.7,158.4,45161,306.0
1423,2012-03-01,64166,0,0,1,0,0,0,1,2012,3,1,64166,Kansas City,464588,6.7,158.4,45161,306.0
1424,2012-04-01,64030,0,0,1,0,0,0,1,2012,4,2,64030,Grandview,24578,6.6,156.54,45161,368.0
1425,2012-04-01,64101,3,0,5,0,0,0,8,2012,4,2,64101,Kansas City,464588,6.6,156.54,45161,368.0
1426,2012-04-01,64102,0,0,1,0,0,0,1,2012,4,2,64102,Kansas City,464588,6.6,156.54,45161,368.0
1427,2012-04-01,64105,11,21,40,0,2,0,72,2012,4,2,64105,Kansas City,464588,6.6,156.54,45161,368.0
1428,2012-04-01,64106,43,71,125,8,9,21,247,2012,4,2,64106,Kansas City,464588,6.6,156.54,45161,368.0
1429,2012-04-01,64108,17,24,131,2,6,15,174,2012,4,2,64108,Kansas City,464588,6.6,156.54,45161,368.0
1430,2012-04-01,64109,50,30,96,30,11,16,206,2012,4,2,64109,Kansas City,464588,6.6,156.54,45161,368.0
1431,2012-04-01,64110,39,17,127,13,9,5,196,2012,4,2,64110,Kansas City,464588,6.6,156.54,45161,368.0
1432,2012-04-01,64111,29,37,216,9,11,20,291,2012,4,2,64111,Kansas City,464588,6.6,156.54,45161,368.0
1433,2012-04-01,64112,2,9,25,2,0,0,38,2012,4,2,64112,Kansas City,464588,6.6,156.54,45161,368.0
1434,2012-04-01,64113,14,14,42,1,1,1,71,2012,4,2,64113,Kansas City,464588,6.6,156.54,45161,368.0
1435,2012-04-01,64114,23,9,94,5,9,2,131,2012,4,2,64114,Kansas City,464588,6.6,156.54,45161,368.0
1436,2012-04-01,64116,20,8,56,7,7,2,91,2012,4,2,64116,Kansas City,464588,6.6,156.54,45161,368.0
1437,2012-04-01,64117,19,8,80,3,10,10,110,2012,4,2,64117,Kansas City,464588,6.6,156.54,45161,368.0
1438,2012-04-01,64118,31,9,114,2,27,4,156,2012,4,2,64118,Kansas City,464588,6.6,156.54,45161,368.0
1439,2012-04-01,64119,15,12,66,1,8,1,94,2012,4,2,64119,Kansas City,464588,6.6,156.54,45161,368.0
1440,2012-04-01,64120,9,6,46,4,0,0,65,2012,4,2,64120,Kansas City,464588,6.6,156.54,45161,368.0
1441,2012-04-01,64121,4,1,3,4,1,0,12,2012,4,2,64121,Kansas City,464588,6.6,156.54,45161,368.0
1442,2012-04-01,64123,28,18,108,12,9,6,166,2012,4,2,64123,Kansas City,464588,6.6,156.54,45161,368.0
1443,2012-04-01,64124,31,23,111,9,20,12,174,2012,4,2,64124,Kansas City,464588,6.6,156.54,45161,368.0
1444,2012-04-01,64125,4,2,22,1,3,4,29,2012,4,2,64125,Kansas City,464588,6.6,156.54,45161,368.0
1445,2012-04-01,64126,19,9,47,4,6,3,79,2012,4,2,64126,Kansas City,464588,6.6,156.54,45161,368.0
1446,2012-04-01,64127,84,46,187,27,42,24,344,2012,4,2,64127,Kansas City,464588,6.6,156.54,45161,368.0
1447,2012-04-01,64128,37,12,87,7,16,17,143,2012,4,2,64128,Kansas City,464588,6.6,156.54,45161,368.0
1448,2012-04-01,64129,26,9,40,8,8,4,83,2012,4,2,64129,Kansas City,464588,6.6,156.54,45161,368.0
1449,2012-04-01,64130,132,56,236,69,56,26,493,2012,4,2,64130,Kansas City,464588,6.6,156.54,45161,368.0
